official,average_size_of_transactions
"Raskin, Jamie","2,750,540"
"Matsui, Doris O.","2,358,677"
"Pelosi, Nancy","558,256"
"Peters, Scott H.","383,672"
"Schneider, Bradley S.","359,331"
"Waltz, Michael","313,084"
"Pingree, Chellie","224,600"
"Wagner, Ann","179,838"
"Cox, TJ J.","169,410"
"Moulton, Seth","169,410"
"Buchanan, Vern","101,744"
"Spartz, Victoria","97,796"
"DelBene, Suzan K.","92,633"
"Maloney, Carolyn B.","88,604"
"Trone, David","84,016"
"Krishnamoorthi, S. R.","73,576"
"Diaz-Balart, Mario","73,576"
"Carter, Earl L.","71,638"
"Hollingsworth, Trey","63,740"
"Jacobs, Sara","51,906"
"Green, Mark","49,962"
"Schrier, Kim","49,662"
"Luria, Elaine","49,631"
"Franklin, Scott","48,096"
"Flores, Bill","43,701"
"Kelly, Mike","41,996"
"Gaetz, Matt","41,186"
"Norton, Eleanor H.","38,305"
"Long, Billy","37,480"
"McCaul, Michael T.","37,264"
"Suozzi, Thomas","35,118"
"Rouda, Harley E.","32,981"
"Conaway, K. M.","32,929"
"Gonzalez, Anthony E.","32,895"
"Higgins, Brian","30,815"
"Chu, Judy","30,815"
"McHenry, Patrick T.","30,815"
"Massie, Thomas","30,815"
"Taylor, Nicholas V.","28,071"
"Bustos, Cheri","26,452"
"Marchant, Kenny","26,163"
"Gianforte, Greg","25,290"
"Ross, Deborah K.","23,717"
"Fallon, Patrick","23,471"
"Case, Ed","23,020"
"Hern, Kevin","22,949"
"Mast, Brian","22,811"
"Garcia, Mike","21,279"
"Dunn, Neal P.","21,010"
"Smucker, Lloyd K.","20,321"
"Dingell, Debbie","20,085"
"Miller, Carol D.","19,922"
"Arenholz, Ashley H.","19,323"
"Upton, Fred","18,571"
"Allen, Richard W.","17,659"
"Joyce, David P.","16,153"
"Davis, Susan A.","15,635"
"Kustoff, David","15,635"
"Visclosky, Peter J.","14,364"
"Guest, Michael P.","14,364"
"Schiff, Adam B.","14,364"
"Kennedy, Joseph P.","14,364"
"Rooney, Francis","13,491"
"Hill, James F.","13,196"
"Newman, Marie","13,029"
"Blumenauer, Earl","12,983"
"Jacobs, Christopher L.","12,813"
"Lamborn, Doug","12,296"
"Langevin, James R.","12,240"
"Foxx, Virginia","11,499"
"Meijer, Peter","11,449"
"Malinowski, Tom","11,172"
"Brooks, Mo","11,137"
"Pascrell, Bill","11,137"
"Amash, Justin","11,137"
"Sessions, Pete","11,126"
"Holding, George","10,710"
"Khanna, Rohit","10,489"
"Rice, Tom","10,153"
"Keating, William R.","10,044"
"Gottheimer, Josh","9,576"
"Gibbs, Bob","9,314"
"Beyer, Donald S.","9,097"
"Pallone, Frank","9,086"
"McKinley, David B.","8,967"
"Scott, Austin","8,724"
"Connolly, Gerald E.","8,635"
"Steube, William G.","8,635"
"Welch, Peter","8,591"
"Gallagher, Michael J.","8,521"
"Manning, Kathy","8,410"
"Simpson, Michael K.","8,395"
"Larson, John B.","8,381"
"Castor, Kathy","8,375"
"Jeffries, Hakeem S.","8,327"
"Cisneros, Gilbert","8,103"
"Schrader, Kurt","8,098"
"Fleischmann, Charles J.","8,085"
"Greene, Marjorie T.","8,051"
"Scott, Robert C.","8,013"
"Morelle, Joseph D.","8,013"
"Burgess, Michael C.","7,933"
"Sherrill, Mikie","7,897"
"Yarmuth, John A.","7,891"
"Rogers, Harold D.","7,800"
"Phillips, Dean","7,724"
"Comer, James","7,692"
"Rouzer, David C.","7,692"
"Courtney, Joe","7,640"
"Curtis, John","7,596"
"Banks, James E.","7,530"
"Cohen, Steve","7,467"
"Brooks, Susan W.","7,467"
"Evans, Dwight","7,367"
"Crenshaw, Daniel","7,227"
"Shalala, Donna","7,123"
"Moore, Blake","6,991"
"Rutherford, John","6,912"
"Wittman, Robert J.","6,887"
"Clark, Katherine M.","6,871"
"Lofgren, Zoe","6,751"
"Lee, Susie","6,730"
"McEachin, Aston D.","6,696"
"Frankel, Lois","6,696"
"Grijalva, Raúl M.","6,696"
"Doggett, Lloyd","6,696"
"Maloney, Sean P.","6,696"
"Meng, Grace","6,696"
"Pfluger, August L.","6,696"
"Axne, Cynthia","6,696"
"Perlmutter, Ed","6,696"
"Schultz, Debbie W.","6,696"
"Garbarino, Andrew","6,696"
"Marshall, Roger W.","6,696"
"Clay Jr., William L.","6,696"
"Bilirakis, Gus M.","6,696"
"Buck, Kenneth R.","6,696"
"Cawthorn, David M.","6,696"
"Trahan, Lori","6,696"
"Graves, Garret","6,696"
"Latta, Robert E.","6,696"
"O'Halleran, Tom","6,696"
"Roe, David P.","6,696"
"Kinzinger, Adam","6,696"
"Timmons, William R.","6,696"
"Meuser, Daniel","6,696"
"Huizenga, Bill","6,696"
"Spanberger, Abigail","6,696"
"Moore, Felix B.","6,696"
"Bucshon, Larry","6,696"
"Chabot, Steve","6,696"
"Burchett, Tim","6,696"
"Newhouse, Dan","6,696"
"Bice, Stephanie","6,696"
"Hagedorn, James","6,696"
"Price, David E.","6,110"
"Sanchez, Linda T.","3,750"
"Lowenthal, Alan S.","2,609"
