senator,avg_number_of_transactions,party
"David A Perdue , Jr",433,Republican Party (United States)
Kelly Loeffler,279,Republican Party (United States)
Thomas H Tuberville,219,Republican Party (United States)
Rick Scott,76,Republican Party (United States)
Shelley M Capito,63,Republican Party (United States)
Sheldon Whitehouse,50,Democratic Party (United States)
Thomas R Carper,49,Democratic Party (United States)
William Cassidy,28,Republican Party (United States)
Gary C Peters,24,Democratic Party (United States)
John Hoeven,23,Republican Party (United States)
Patrick J Toomey,21,Republican Party (United States)
Pat Roberts,20,Republican Party (United States)
Susan M Collins,19,Republican Party (United States)
Thomas R Tillis,17,Republican Party (United States)
"Jerry Moran,",14,Republican Party (United States)
"William F Hagerty, Iv",14,Republican Party (United States)
John W Hickenlooper,12,Democratic Party (United States)
Ron L Wyden,11,Democratic Party (United States)
John F Reed,11,Democratic Party (United States)
"Angus S King, Jr.",10,Independent politician
James M Inhofe,9,Republican Party (United States)
Mark R Warner,8,Democratic Party (United States)
Tina Smith,8,Democratic Party (United States)
Richard M Burr,7,Republican Party (United States)
Patty Murray,6,Democratic Party (United States)
John Boozman,5,Republican Party (United States)
Daniel S Sullivan,5,Republican Party (United States)
Richard Blumenthal,5,Democratic Party (United States)
Lamar Alexander,4,Republican Party (United States)
Tammy Duckworth,4,Democratic Party (United States)
Christopher A Coons,3,Democratic Party (United States)
Jacklyn S Rosen,3,Democratic Party (United States)
Robert J Portman,2,Republican Party (United States)
Mike Rounds,2,Republican Party (United States)
Rafael E Cruz,2,Republican Party (United States)
Cynthia M Lummis,2,Republican Party (United States)
Benjamin L Cardin,2,Democratic Party (United States)
Cory A Booker,2,Democratic Party (United States)
"Joseph Manchin, Iii",2,Democratic Party (United States)
Ladda Tammy Duckworth,2,Democratic Party (United States)
Chris Van Hollen,2,Democratic Party (United States)
Thad Cochran,1,Republican Party (United States)
"A. Mitchell Mcconnell, Jr.",1,Republican Party (United States)
Roger F Wicker,1,Republican Party (United States)
Roy Blunt,1,Republican Party (United States)
Michael  B Enzi,1,Republican Party (United States)
Rafael Edward (Ted) Cruz,1,Republican Party (United States)
Ron Johnson,1,Republican Party (United States)
John N Kennedy,1,Republican Party (United States)
John Cornyn,1,Republican Party (United States)
Roy D Blunt,1,Republican Party (United States)
Michael B Enzi,1,Republican Party (United States)
Roger W Marshall,1,Republican Party (United States)
Rand Paul,1,Republican Party (United States)
John A Barrasso,1,Republican Party (United States)
Michael D Crapo,1,Republican Party (United States)
Steve Daines,1,Republican Party (United States)
Richard C Shelby,1,Republican Party (United States)
Angus S King,1,Independent politician
Dianne Feinstein,1,Democratic Party (United States)
Ron Wyden,1,Democratic Party (United States)
Michael F Bennet,1,Democratic Party (United States)
Maria Cantwell,1,Democratic Party (United States)
Timothy M Kaine,1,Democratic Party (United States)
Jeanne Shaheen,1,Democratic Party (United States)
Thomas Udall,1,Democratic Party (United States)
"Robert P Casey, Jr.",1,Democratic Party (United States)
Jack Reed,1,Democratic Party (United States)
Maria E Cantwell,1,Democratic Party (United States)
Ronald L Wyden,1,Democratic Party (United States)
Elizabeth Warren,1,Democratic Party (United States)
Tom S Udall,1,Democratic Party (United States)
